,V1,size,expr,time
275,size,476,labelled_opart,0.0003171
276,size,476,opart,0.000557
277,size,476,fpop,0.0001805
278,size,476,labelled_opart,0.0002607
279,size,476,labelled_opart,0.00027075
280,size,409,fpop,0.0002908
281,size,409,opart,0.0004704
282,size,409,labelled_opart,0.0004362
283,size,409,labelled_opart,0.0002658
284,size,409,labelled_opart,0.00022365
285,size,409,fpop,0.0001772
286,size,409,fpop,0.0001491
287,size,409,opart,0.0004559
288,size,409,opart,0.0004949
289,size,408,labelled_opart,0.0002631
290,size,408,opart,0.0004598
291,size,408,opart,0.0004476
292,size,408,labelled_opart,0.00023625
293,size,408,opart,0.000444
294,size,408,fpop,0.0001754
295,size,408,fpop,0.0001575
296,size,408,labelled_opart,0.00024105
297,size,408,fpop,0.0001607
298,size,344,labelled_opart,0.0002643
299,size,344,fpop,0.0001762
300,size,344,labelled_opart,0.000255
301,size,344,labelled_opart,0.0002157
302,size,344,fpop,0.00017
303,size,344,opart,0.0003286
304,size,344,opart,0.0003177
305,size,344,opart,0.0003163
306,size,344,fpop,0.0001438
307,size,469,opart,0.0006085
308,size,469,labelled_opart,0.0003237
309,size,469,labelled_opart,0.0002793
310,size,469,opart,0.0005619
311,size,469,fpop,0.0002158
312,size,469,fpop,0.0001862
313,size,469,fpop,0.0001822
314,size,469,labelled_opart,0.0002733
315,size,469,opart,0.0005624
316,size,498,fpop,0.000263
317,size,498,opart,0.0006834
318,size,498,fpop,0.0001958
319,size,498,opart,0.0006558
320,size,498,labelled_opart,0.0003945
321,size,498,labelled_opart,0.0002937
322,size,498,fpop,0.0001999
323,size,498,labelled_opart,0.00029985
324,size,498,opart,0.0006604
325,size,310,fpop,0.0002496
326,size,310,labelled_opart,0.0003744
327,size,310,fpop,0.0001562
328,size,310,fpop,0.0001264
329,size,310,opart,0.0002781
330,size,310,labelled_opart,0.0002343
331,size,310,opart,0.0002769
332,size,310,labelled_opart,0.0001896
333,size,310,opart,0.0002735
334,size,499,fpop,0.0002808
335,size,499,labelled_opart,0.0004212
336,size,499,labelled_opart,0.0003027
337,size,499,opart,0.0006257
338,size,499,opart,0.0006223
339,size,499,opart,0.0006176
340,size,499,fpop,0.0002018
341,size,499,labelled_opart,0.00029775
342,size,499,fpop,0.0001985
343,size,316,fpop,0.0002271
344,size,316,opart,0.0002924
345,size,316,fpop,0.0001354
346,size,316,labelled_opart,0.00034065
347,size,316,labelled_opart,0.0002031
348,size,316,opart,0.0002794
349,size,316,fpop,0.0001275
350,size,316,opart,0.0002757
351,size,316,labelled_opart,0.00019125
352,size,468,labelled_opart,0.00030495
353,size,468,labelled_opart,0.0003054
354,size,468,opart,0.0006172
355,size,468,opart,0.000591
356,size,468,labelled_opart,0.0003927
357,size,468,fpop,0.0002033
358,size,468,fpop,0.0002036
359,size,468,fpop,0.0002618
360,size,468,opart,0.0006008
361,size,646,fpop,0.0003878
362,size,646,fpop,0.0002634
363,size,646,labelled_opart,0.0005817
364,size,646,opart,0.0010111
365,size,646,opart,0.0010265
366,size,646,opart,0.0010079
367,size,646,labelled_opart,0.0003951
368,size,646,labelled_opart,0.0003681
369,size,646,fpop,0.0002454
370,size,647,opart,0.0010581
371,size,647,fpop,0.0002642
372,size,647,labelled_opart,0.0003963
373,size,647,opart,0.000997
374,size,647,opart,0.0009915
375,size,647,labelled_opart,0.00034935
376,size,647,fpop,0.0002329
377,size,647,fpop,0.0002212
378,size,647,labelled_opart,0.0003318
379,size,657,fpop,0.0003025
380,size,657,opart,0.001037
381,size,657,fpop,0.0002248
382,size,657,opart,0.0010237
383,size,657,labelled_opart,0.00045375
384,size,657,labelled_opart,0.0003372
385,size,657,fpop,0.0002272
386,size,657,opart,0.0010278
387,size,657,labelled_opart,0.0003408
388,size,646,fpop,0.0002978
389,size,646,labelled_opart,0.0004467
390,size,646,labelled_opart,0.00035625
391,size,646,labelled_opart,0.0003363
392,size,646,opart,0.0009992
393,size,646,fpop,0.0002375
394,size,646,opart,0.0009913
395,size,646,fpop,0.0002242
396,size,646,opart,0.0009909
397,size,652,fpop,0.0002674
398,size,652,labelled_opart,0.0004011
399,size,652,fpop,0.0002105
400,size,652,labelled_opart,0.00031575
401,size,652,opart,0.0010307
402,size,652,fpop,0.0002091
403,size,652,labelled_opart,0.00031365
404,size,652,opart,0.0010115
405,size,652,opart,0.0010043
406,size,652,labelled_opart,0.0004614
407,size,652,opart,0.0010471
408,size,652,fpop,0.0003076
409,size,652,labelled_opart,0.00041775
410,size,652,labelled_opart,0.00034155
411,size,652,opart,0.0010521
412,size,652,fpop,0.0002785
413,size,652,fpop,0.0002277
414,size,652,opart,0.0010129
415,size,637,fpop,0.0003147
416,size,637,labelled_opart,0.00047205
417,size,637,labelled_opart,0.00034695
418,size,637,fpop,0.0002313
419,size,637,opart,0.0009797
420,size,637,opart,0.0009814
421,size,637,labelled_opart,0.0003348
422,size,637,opart,0.0009759
423,size,637,fpop,0.0002232
424,size,234,fpop,0.0001759
425,size,234,labelled_opart,0.00026385
426,size,234,opart,0.0001658
427,size,234,opart,0.0001602
428,size,234,labelled_opart,0.00016275
429,size,234,opart,0.0001582
430,size,234,labelled_opart,0.0001344
431,size,234,fpop,0.0001085
432,size,234,fpop,8.96E-05
433,size,142,opart,0.0001585
434,size,142,labelled_opart,0.0001626
435,size,142,fpop,0.0001084
436,size,142,fpop,6.85E-05
437,size,142,labelled_opart,0.00010275
438,size,142,labelled_opart,0.00011595
439,size,142,opart,9.44E-05
440,size,142,fpop,7.73E-05
441,size,142,opart,8.55E-05
442,size,162,labelled_opart,0.00018675
443,size,162,opart,0.000108
444,size,162,opart,9.51E-05
445,size,162,fpop,0.0001245
446,size,162,fpop,8.68E-05
447,size,162,labelled_opart,0.0001302
448,size,162,fpop,8.96E-05
449,size,162,labelled_opart,0.0001344
450,size,162,opart,0.0001037
451,size,126,labelled_opart,0.00013545
452,size,126,labelled_opart,0.00010035
453,size,126,labelled_opart,0.00011085
454,size,126,fpop,9.03E-05
455,size,126,opart,7.20E-05
456,size,126,fpop,6.69E-05
457,size,126,opart,6.48E-05
458,size,126,fpop,7.39E-05
459,size,126,opart,6.92E-05
460,size,59,labelled_opart,0.0001101
461,size,59,opart,4.76E-05
462,size,59,fpop,7.34E-05
463,size,59,fpop,5.46E-05
464,size,59,opart,3.89E-05
465,size,59,labelled_opart,8.19E-05
466,size,59,fpop,5.64E-05
467,size,59,opart,3.89E-05
468,size,59,labelled_opart,8.46E-05
469,size,142,labelled_opart,0.0001608
470,size,142,opart,8.99E-05
471,size,142,fpop,0.0001072
472,size,142,labelled_opart,0.00013515
473,size,142,fpop,9.01E-05
474,size,142,labelled_opart,0.00012885
475,size,142,opart,8.26E-05
476,size,142,fpop,8.59E-05
477,size,142,opart,8.02E-05
478,size,233,opart,0.0002314
479,size,233,labelled_opart,0.00018945
480,size,233,opart,0.0001663
481,size,233,opart,0.0001572
482,size,233,fpop,0.0001263
483,size,233,labelled_opart,0.0001572
484,size,233,labelled_opart,0.0001398
485,size,233,fpop,0.0001048
486,size,233,fpop,9.32E-05
487,size,155,labelled_opart,0.00016005
488,size,155,labelled_opart,0.0001257
489,size,155,fpop,0.0001067
490,size,155,opart,9.64E-05
491,size,155,fpop,8.38E-05
492,size,155,opart,9.20E-05
493,size,155,opart,8.89E-05
494,size,155,fpop,7.89E-05
495,size,155,labelled_opart,0.00011835
496,size,134,opart,0.0001272
497,size,134,labelled_opart,0.000156
498,size,134,fpop,0.000104
499,size,134,fpop,7.83E-05
500,size,134,labelled_opart,0.00011745
501,size,134,opart,8.09E-05
502,size,134,labelled_opart,0.0001248
503,size,134,fpop,8.32E-05
504,size,134,opart,8.53E-05
505,size,199,labelled_opart,0.0001854
506,size,199,labelled_opart,0.0001446
507,size,199,fpop,0.0001236
508,size,199,fpop,9.64E-05
509,size,199,labelled_opart,0.0001518
510,size,199,opart,0.0001446
511,size,199,fpop,0.0001012
512,size,199,opart,0.0001304
513,size,199,opart,0.0001264
514,size,150,labelled_opart,0.0001629
515,size,150,fpop,0.0001086
516,size,150,opart,8.95E-05
517,size,150,fpop,7.24E-05
518,size,150,labelled_opart,0.0001086
519,size,150,labelled_opart,0.0001131
520,size,150,opart,8.39E-05
521,size,150,opart,7.92E-05
522,size,150,fpop,7.54E-05
523,size,146,labelled_opart,0.0001611
524,size,146,fpop,0.0001074
525,size,146,labelled_opart,0.0001305
526,size,146,labelled_opart,0.0001191
527,size,146,opart,8.65E-05
528,size,146,fpop,8.70E-05
529,size,146,opart,8.28E-05
530,size,146,opart,8.09E-05
531,size,146,fpop,7.94E-05
532,size,141,labelled_opart,0.00014565
533,size,141,labelled_opart,0.00011325
534,size,141,opart,8.32E-05
535,size,141,labelled_opart,0.00011025
536,size,141,opart,7.75E-05
537,size,141,fpop,9.71E-05
538,size,141,opart,7.77E-05
539,size,141,fpop,7.55E-05
540,size,141,fpop,7.35E-05
541,size,199,opart,0.0001989
542,size,199,labelled_opart,0.0002103
543,size,199,opart,0.0001364
544,size,199,fpop,0.0001402
545,size,199,opart,0.0001367
546,size,199,labelled_opart,0.0001698
547,size,199,fpop,0.0001132
548,size,199,fpop,8.90E-05
549,size,199,labelled_opart,0.0001335
550,size,199,labelled_opart,0.00017085
551,size,199,opart,0.000136
552,size,199,opart,0.0001314
553,size,199,labelled_opart,0.0001341
554,size,199,labelled_opart,0.0001413
555,size,199,opart,0.0001301
556,size,199,fpop,0.0001139
557,size,199,fpop,8.94E-05
558,size,199,fpop,9.42E-05
559,size,172,opart,0.0001553
560,size,172,labelled_opart,0.00014805
561,size,172,labelled_opart,0.0001179
562,size,172,labelled_opart,0.0001206
563,size,172,opart,0.0001017
564,size,172,opart,9.72E-05
565,size,172,fpop,9.87E-05
566,size,172,fpop,7.86E-05
567,size,172,fpop,8.04E-05
568,size,145,fpop,0.0001826
569,size,145,labelled_opart,0.0002739
570,size,145,opart,8.45E-05
571,size,145,labelled_opart,0.00012375
572,size,145,opart,7.78E-05
573,size,145,fpop,8.25E-05
574,size,145,fpop,7.25E-05
575,size,145,opart,7.60E-05
576,size,145,labelled_opart,0.00010875
577,size,136,opart,0.0001374
578,size,136,fpop,0.0001123
579,size,136,opart,7.59E-05
580,size,136,labelled_opart,0.00016845
581,size,136,opart,7.42E-05
582,size,136,labelled_opart,0.00012525
583,size,136,labelled_opart,0.0001068
584,size,136,fpop,8.35E-05
585,size,136,fpop,7.12E-05
586,size,135,labelled_opart,0.00015405
587,size,135,fpop,0.0001027
588,size,135,labelled_opart,0.0001008
589,size,135,fpop,6.72E-05
590,size,135,opart,7.70E-05
591,size,135,labelled_opart,9.77E-05
592,size,135,opart,7.26E-05
593,size,135,opart,6.88E-05
594,size,135,fpop,6.51E-05
595,size,235,fpop,0.000171
596,size,235,fpop,0.0001108
597,size,235,opart,0.0001735
598,size,235,opart,0.0001612
599,size,235,fpop,0.0001019
600,size,235,labelled_opart,0.0002565
601,size,235,labelled_opart,0.0001662
602,size,235,labelled_opart,0.00015285
603,size,235,opart,0.000165
604,size,159,fpop,0.0001592
605,size,159,labelled_opart,0.0002388
606,size,159,labelled_opart,0.00012825
607,size,159,opart,9.72E-05
608,size,159,opart,8.98E-05
609,size,159,fpop,8.55E-05
610,size,159,fpop,7.23E-05
611,size,159,opart,9.09E-05
612,size,159,labelled_opart,0.00010845
613,size,164,fpop,0.000159
614,size,164,labelled_opart,0.0002385
615,size,164,fpop,0.0001375
616,size,164,opart,0.000119
617,size,164,opart,0.000106
618,size,164,opart,0.0001039
619,size,164,fpop,8.21E-05
620,size,164,labelled_opart,0.00020625
621,size,164,labelled_opart,0.00012315
622,size,93,fpop,0.0001518
623,size,93,opart,6.66E-05
624,size,93,fpop,6.98E-05
625,size,93,fpop,6.27E-05
626,size,93,labelled_opart,0.0002277
627,size,93,opart,5.22E-05
628,size,93,labelled_opart,0.0001047
629,size,93,labelled_opart,9.41E-05
630,size,93,opart,5.06E-05
631,size,148,fpop,0.0001755
632,size,148,labelled_opart,0.00026325
633,size,148,labelled_opart,0.00012285
634,size,148,fpop,8.19E-05
635,size,148,opart,0.0007611
636,size,148,opart,7.88E-05
637,size,148,fpop,7.13E-05
638,size,148,labelled_opart,0.00010695
639,size,148,opart,8.21E-05
640,size,136,fpop,0.000145
641,size,136,labelled_opart,0.0002175
642,size,136,opart,8.25E-05
643,size,136,fpop,8.04E-05
644,size,136,opart,7.75E-05
645,size,136,labelled_opart,0.0001206
646,size,136,labelled_opart,0.00011565
647,size,136,fpop,7.71E-05
648,size,136,opart,7.50E-05
649,size,138,labelled_opart,0.0001761
650,size,138,fpop,0.0001174
651,size,138,opart,0.0001011
652,size,138,labelled_opart,0.00013785
653,size,138,fpop,9.19E-05
654,size,138,labelled_opart,0.0001233
655,size,138,fpop,8.22E-05
656,size,138,opart,8.51E-05
657,size,138,opart,8.16E-05
658,size,153,opart,0.0001441
659,size,153,fpop,0.0001245
660,size,153,fpop,8.57E-05
661,size,153,labelled_opart,0.00018675
662,size,153,opart,9.40E-05
663,size,153,opart,8.79E-05
664,size,153,labelled_opart,0.00012855
665,size,153,fpop,9.57E-05
666,size,153,labelled_opart,0.00014355
667,size,234,opart,0.0003821
668,size,234,fpop,0.0002241
669,size,234,opart,0.0002987
670,size,234,opart,0.0002868
671,size,234,labelled_opart,0.00033615
672,size,234,fpop,0.0001894
673,size,234,labelled_opart,0.0002841
674,size,234,fpop,0.0001781
675,size,234,labelled_opart,0.00026715
676,size,235,opart,0.0002053
677,size,235,labelled_opart,0.00018795
678,size,235,labelled_opart,0.0001575
679,size,235,fpop,0.0001253
680,size,235,fpop,0.000105
681,size,235,labelled_opart,0.00015675
682,size,235,fpop,0.0001045
683,size,235,opart,0.0001653
684,size,235,opart,0.000165
685,size,231,opart,0.0002185
686,size,231,labelled_opart,0.0001791
687,size,231,opart,0.0001582
688,size,231,labelled_opart,0.0001446
689,size,231,opart,0.0001649
690,size,231,fpop,0.0001194
691,size,231,fpop,9.64E-05
692,size,231,fpop,9.00E-05
693,size,231,labelled_opart,0.000135
694,size,233,opart,0.0002232
695,size,233,fpop,0.0001492
696,size,233,fpop,0.000116
697,size,233,opart,0.0001716
698,size,233,fpop,0.0001102
699,size,233,labelled_opart,0.0002238
700,size,233,labelled_opart,0.000174
701,size,233,labelled_opart,0.0001653
702,size,233,opart,0.0001712
703,size,235,opart,0.000219
704,size,235,labelled_opart,0.00019875
705,size,235,fpop,0.0001325
706,size,235,fpop,0.0001101
707,size,235,fpop,0.0001038
708,size,235,opart,0.0001659
709,size,235,opart,0.0001612
710,size,235,labelled_opart,0.00016515
711,size,235,labelled_opart,0.0001557
712,size,235,labelled_opart,0.0002085
713,size,235,opart,0.0001734
714,size,235,fpop,0.000139
715,size,235,fpop,0.0001182
716,size,235,fpop,0.0001114
717,size,235,opart,0.0001682
718,size,235,labelled_opart,0.0001773
719,size,235,opart,0.0002247
720,size,235,labelled_opart,0.0001671
721,size,235,fpop,0.0001746
722,size,235,opart,0.000179
723,size,235,labelled_opart,0.0002619
724,size,235,labelled_opart,0.00017655
725,size,235,labelled_opart,0.000156
726,size,235,fpop,0.0001177
727,size,235,opart,0.000166
728,size,235,fpop,0.000104
729,size,235,opart,0.0001642
730,size,187,opart,0.0001751
731,size,187,labelled_opart,0.0001812
732,size,187,labelled_opart,0.00013935
733,size,187,fpop,0.0001208
734,size,187,opart,0.0001163
735,size,187,labelled_opart,0.00013215
736,size,187,opart,0.0001128
737,size,187,fpop,9.29E-05
738,size,187,fpop,8.81E-05
739,size,221,opart,0.0002019
740,size,221,labelled_opart,0.00018645
741,size,221,opart,0.0001588
742,size,221,fpop,0.0001243
743,size,221,labelled_opart,0.0001701
744,size,221,fpop,0.0001134
745,size,221,fpop,0.0001185
746,size,221,opart,0.0001496
747,size,221,labelled_opart,0.00017775
748,size,175,labelled_opart,0.0001842
749,size,175,fpop,0.0001228
750,size,175,fpop,9.71E-05
751,size,175,opart,0.0001191
752,size,175,opart,0.0001035
753,size,175,labelled_opart,0.00014565
754,size,175,labelled_opart,0.0001359
755,size,175,fpop,9.06E-05
756,size,175,opart,0.000107
757,size,190,opart,0.0001954
758,size,190,opart,0.0001325
759,size,190,labelled_opart,0.0001719
760,size,190,fpop,0.0001146
761,size,190,fpop,8.83E-05
762,size,190,opart,0.0001306
763,size,190,labelled_opart,0.00013245
764,size,190,labelled_opart,0.00015045
765,size,190,fpop,0.0001003
766,size,200,labelled_opart,0.0001917
767,size,200,labelled_opart,0.0001527
768,size,200,opart,0.0001345
769,size,200,fpop,0.0001278
770,size,200,labelled_opart,0.00014355
771,size,200,fpop,0.0001018
772,size,200,opart,0.0001389
773,size,200,fpop,9.57E-05
774,size,200,opart,0.0001282
775,size,185,fpop,0.0001894
776,size,185,labelled_opart,0.0002841
777,size,185,fpop,9.64E-05
778,size,185,labelled_opart,0.0001446
779,size,185,opart,0.0001211
780,size,185,fpop,8.66E-05
781,size,185,opart,0.0001172
782,size,185,opart,0.0001137
783,size,185,labelled_opart,0.0001299
784,size,183,opart,0.0001695
785,size,183,labelled_opart,0.00017805
786,size,183,labelled_opart,0.00014985
787,size,183,opart,0.0001162
788,size,183,fpop,0.0001187
789,size,183,fpop,9.99E-05
790,size,183,opart,0.0001124
791,size,183,labelled_opart,0.0001581
792,size,183,fpop,0.0001054
793,size,154,fpop,0.0001611
794,size,154,fpop,9.73E-05
795,size,154,opart,9.72E-05
796,size,154,labelled_opart,0.00024165
797,size,154,fpop,9.22E-05
798,size,154,labelled_opart,0.00014595
799,size,154,opart,9.00E-05
800,size,154,opart,9.07E-05
801,size,154,labelled_opart,0.0001383
802,size,89,fpop,0.0001228
803,size,89,opart,5.83E-05
804,size,89,opart,4.51E-05
805,size,89,labelled_opart,0.0001842
806,size,89,labelled_opart,8.97E-05
807,size,89,fpop,5.98E-05
808,size,89,opart,5.27E-05
809,size,89,fpop,5.80E-05
810,size,89,labelled_opart,8.70E-05
811,size,110,labelled_opart,0.0001794
812,size,110,fpop,0.0001196
813,size,110,labelled_opart,0.000114
814,size,110,fpop,7.60E-05
815,size,110,opart,6.59E-05
816,size,110,opart,5.83E-05
817,size,110,opart,5.73E-05
818,size,110,labelled_opart,0.00010005
819,size,110,fpop,6.67E-05
820,size,78,labelled_opart,0.0001383
821,size,78,fpop,9.22E-05
822,size,78,opart,4.84E-05
823,size,78,fpop,5.40E-05
824,size,78,fpop,4.99E-05
825,size,78,opart,4.12E-05
826,size,78,labelled_opart,8.10E-05
827,size,78,labelled_opart,7.49E-05
828,size,78,opart,4.23E-05
829,size,105,opart,0.000101
830,size,105,fpop,0.0001029
831,size,105,labelled_opart,0.00015435
